Cohort,Attribute
budget makeup & cosmetic product prioritisers,im - make-up brushes & tools
budget makeup & cosmetic product prioritisers,im - face foundations
budget makeup & cosmetic product prioritisers,im - nail polish
budget makeup & cosmetic product prioritisers,im - eye make-up tools
budget makeup & cosmetic product prioritisers,im - cosmetic bags
budget makeup & cosmetic product prioritisers,im - lipsticks
budget makeup & cosmetic product prioritisers,im - false eye lashes
budget makeup & cosmetic product prioritisers,ls - beauty products purchasers - new to category
budget makeup & cosmetic product prioritisers,im - concealers & correctors
budget makeup & cosmetic product prioritisers,im - make-up brush sets
budget makeup & cosmetic product prioritisers,ls - beauty conscientious
budget shoe buyers- female,ls - budget shoppers of fashion  (uk)
budget shoe buyers- female,im - women's shoes
budget shoe buyers- female,im - footwear
budget shoe buyers- male,im - men's shoes
budget shoe buyers- male,im - footwear
budget shoe buyers- male,im - men's boat & deck shoes
budget shoes - female fans,ls - budget shoppers of fashion  (uk)
budget shoes - female fans,im - women's shoes
budget shoes - female fans,im - women's espadrille shoes
budget shoes - male fans,ls - budget shoppers of fashion  (uk)
budget skin care product prioritisers,ls - budget shoppers of skin care (uk)
budget skin care product prioritisers,im - skin care
budget skin care product prioritisers,im - body skin care
budget skin care product prioritisers,im - facial treatments & masks
budget skin care product prioritisers,im - lip balms
budget skin care product prioritisers,im - face treatments & masks
budget skin care product prioritisers,im - concealers & correctors
budget sportswear buyers- female,im - fitness apparel and equipment
budget sportswear buyers- female,im - women's hoodies & sweatshirts
budget sportswear buyers- female,im - running clothing
budget sportswear buyers- female,im - women's leggings
budget sportswear buyers- female,im - women's sports tights & leggings
budget sportswear buyers- female,im - sports & outdoor clothing
budget sportswear buyers- female,im - women's cycling clothing
budget sportswear buyers- female,im - women's sports apparel
budget sportswear buyers- female,im - women's exercise & fitness shorts
budget sportswear buyers- female,im - women's tennis clothing
budget sportswear buyers- female,im - women's tennis skirts & skorts
budget sportswear buyers- female,im - women's sports clothing accessories
budget sportswear buyers- female,im - women's activewear sets
budget sportswear buyers- female,im - yoga clothing
budget sportswear buyers- male,im - men's sportswear
budget sportswear buyers- male,im - fitness accessories
budget sportswear buyers- male,im - running clothing
budget sportswear buyers- male,im - men's athletic socks
budget sportswear buyers- male,im - men's running clothing
budget sportswear buyers- male,im - men's running shoes
budget sportswear buyers- male,im - men's sports trousers
budget sportswear buyers- male,im - football balls
budget sportswear buyers- male,im - football apparel
budget sportswear buyers- male,im - sports & outdoor clothing
budget sportswear buyers- male,im - boys' activewear sets
budget sportswear buyers- male,im - men's activewear sets
budget sportswear buyers- male,im - men's sports clothing base layers & compression
budget travellers,im - travel and holiday books
budget travellers,im - travel & tourism books
budget underwear buyers- female,im - women's nightwear
budget underwear buyers- female,im - women's pyjama sets
budget underwear buyers- male,im - men's t-shirts
budget underwear buyers- male,im - men's pyjama sets
budgeting masters,im - calculators
budgeting masters,"ls - b2b - amazon business - finance, insurance and real estate business"
building suppliers,ls - professional tools
building suppliers,ls - b2b - amazon business - construction business
building suppliers,ls - b2b - amazon business - foundation & structure
building suppliers,ls - b2b - amazon business - plumber & hvac
building suppliers,ls - b2b - amazon business - rough carpenter & framer
bundesliga fans,im - football books
burberry fans,ls - premium shoppers of fashion (uk)
burberry fans,im - women's fashion
business decision makers- cdps,im - business and office software
business decision makers- helpdesk & customer support solutions,im - business and office software
business decision makers- it support,im - office electronics
business decision makers- network & enterprise security,im - security apps
business decision makers- network & enterprise security,im - security software
business decision makers- network equipment & virtualization,im - computer networking devices
business decision makers- network storage,im - data storage
business decision makers- network storage,im - external data storage
business decision makers- network storage,im - external hard drives
business decision makers- network storage,im - hard drive accessories
business decision makers- web conferencing,im - webcams & voip equipment
business decision makers- web conferencing,im - business and office software
business development pros,ls - b2b - amazon business - business with 11-50 employees
business development pros,ls - b2b - amazon business - business products and services business
business development pros,ls - b2b - amazon business - business with more than 50 employees
business development pros,ls - b2b - amazon business - business members
business executives,ls - b2b - amazon business - very high revenue
business executives,ls - b2b - amazon business - business members
business growth strategists,im - business management books
business growth strategists,im - business and finance books
business growth strategists,im - business economics books
business growth strategists,im - professional finance books
business growth strategists,ls - b2b - amazon business - high spenders
business growth strategists,ls - b2b - amazon business - very high revenue
business growth strategists,ls - b2b - amazon business - business with 11-50 employees
business growth strategists,ls - b2b - amazon business - business products and services business
business growth strategists,ls - b2b - amazon business - business with more than 50 employees
